Class,1,2a,2e,3,4,5,6a,6e,7,8
1,1.92459585395793,1.03235126986473,0.801206563350078,0.785786969163455,0.784455832244089,1.15403785928098,1.3449794672825,0.925495268752809,0.21553191181797,0.772794185616212
2a,1.71599677379246,1.51805150245157,1.01226831115212,0.713738169551137,0.819043921103035,1.13420917450801,1.7400535574386,0.757954213282456,0.941962797527346,1.07073188652157
2e,0.872093637521693,1.10517358612909,1.46061374995739,0.912316350156918,0.987264898421613,1.27201661686833,0.788380606073429,1.32419227012275,0.269152328160276,1.0917975197332
3,0.755981980337508,1.14730800569635,1.26313417329997,1.26186850680502,1.01353278604163,1.15969257331999,1.08402846133232,1.27818053531399,0.861902436287256,0.978488393708395
4,1.28268061171473,1.1686262778902,0.908438764307725,0.928942455873673,0.977668688894883,1.36557241251626,1.40264219609634,1.12877314252447,1.07585242581517,0.913248848557363
5,0.758735785651555,0.877469141971948,0.521155421392812,0.580340362206744,0.730555227638439,1.33475371213492,1.36362941579406,0.902043281715937,0.486658284953679,0.556138271797851
6a,0.942366747050308,0.731108347198143,0.793064006153447,0.585537622206489,0.540920530479764,1.20111926853512,1.67890491810599,0.955638150367551,0.333655578168041,0.449112921187417
6e,0.539362406011633,0.796110773953576,0.93340105807153,0.881446893739304,0.945520604094394,1.30695903846836,0.776521180807106,1.33335997246115,1.04227022573886,0.55726501699917
7,2.1406716417842,0.885527207588687,1.25967605887479,1.14118801829227,0.978873505662654,1.65065022112712,0.666313995824544,1.13944642332866,1.59479877391039,0.47595901485739
8,1.44823209360898,0.947651521088834,0.807493811501321,0.835393390281107,1.01427318178357,1.43155108298289,2.01930123419841,1.15266119389854,0.950069451176023,1.01798970562822
